CD,Male,,,,,,Female,,,,,,Unknown,,,,,
CD,18 to 24,25 to 34,35 to 49,50 to 64,65+,Unknown,18 to 24,25 to 34,35 to 49,50 to 64,65+,Unknown,18 to 24,25 to 34,35 to 49,50 to 64,65+,Unknown
1,385,"6,487","10,665","13,356","18,672","13,848",445,"7,970","11,914","12,738","20,669","13,664",94,"1,156","1,677","1,404","1,579","7,278"
2,379,"6,063","9,609","11,972","15,804","12,635",388,"7,693","10,932","11,590","18,166","12,646",93,"1,005","1,845","1,695","1,323","7,881"
3,384,"6,308","10,731","13,120","15,575","14,188",360,"8,043","11,810","12,436","17,729","14,351",99,"1,096","2,506","2,207","1,583","9,888"
4,331,"5,647","9,853","12,196","16,345","10,641",349,"7,055","10,791","11,528","18,377","10,880",83,718,"1,986","1,838","1,489","7,210"
5,274,"5,381","10,289","11,865","16,114","13,344",312,"6,784","11,270","10,867","18,274","13,689",76,950,"3,071","2,868","2,050","12,374"
6,248,"4,979","9,152","12,313","18,393","12,156",269,"6,435","9,996","11,260","20,396","11,700",73,684,"1,623","1,624","1,501","7,009"
7,357,"8,007","11,271","12,248","11,176","17,349",436,"9,413","11,791","11,158","12,506","17,995",144,"1,759","3,209","2,988","2,067","15,212"
8,204,"5,209","9,503","12,129","16,641","12,992",262,"6,558","10,734","11,148","18,716","13,227",67,866,"2,106","2,029","1,666","9,210"
9,286,"5,390","10,384","14,462","22,608","19,500",303,"6,831","10,843","13,061","23,046","16,696",59,681,"1,284","1,472","1,654","7,884"
